,기준일ID,시간대구분,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
225818,20220423,4,35095.7416999999,2249.1867,654.9016,743.806,844.642,1338.8294,1466.21689999999,1666.4844,1818.7795,1624.9501,1232.8241,1224.66609999999,1006.5465,654.9936,1249.97,2107.9715,566.0565,687.1639,1074.6111,1277.9241,1474.32189999999,1667.6348,1311.5853,1344.1368,1039.4393,1177.4199,921.898,785.409599999999,1883.3722
226247,20220423,5,36901.7652,2404.5278,700.1327,768.177299999999,874.3893,1411.5468,1589.69239999999,1758.13619999999,1884.45859999999,1669.8706,1376.22939999999,1281.83629999999,1087.6458,647.0714,1262.3846,2128.2075,571.4904,698.267699999999,1137.70589999999,1414.9347,1556.3991,1788.0,1376.8758,1382.6248,1145.0281,1302.3664,990.5688,781.667,1911.5298
226666,20220423,6,38953.7644,2370.2241,690.1443,731.0104,927.401299999999,1476.9962,1722.5576,1896.5081,1934.499,1857.2799,1482.7279,1391.2393,1121.89159999999,703.7286,1286.97859999999,2163.5677,580.985599999999,700.750599999999,1226.20499999999,1547.506,1743.2081,1936.684,1475.39979999999,1515.1105,1285.7661,1454.3866,1036.44789999999,798.5765,1895.98229999999
227084,20220423,7,39115.9626999999,2436.6199,709.4769,706.583899999999,890.332999999999,1489.9141,1793.4828,1869.0027,1968.97689999999,1790.95419999999,1390.06289999999,1372.1069,1116.0787,741.623299999999,1241.57009999999,2220.44729999999,596.2599,712.3458,1228.66789999999,1666.4833,1771.893,1914.3251,1478.4846,1507.7534,1312.7262,1463.2206,1032.33369999999,803.5139,1890.72129999999
227511,20220423,8,39328.5331999999,2360.4481,687.297699999999,646.5307,892.9252,1610.9412,1910.86799999999,1911.45679999999,1940.67139999999,1760.3304,1397.27299999999,1420.21769999999,1173.5762,739.930299999999,1223.7959,2130.72429999999,572.1665,704.859699999999,1253.8444,1783.2941,1947.2293,1837.5889,1392.1477,1428.768,1358.20949999999,1489.1175,1087.343,777.5755,1889.4047
227928,20220423,9,38125.2056,2269.5529,660.831199999999,640.269999999999,895.7137,1559.3044,1825.0802,1881.44509999999,1907.3746,1650.7135,1425.95499999999,1346.473,1145.16419999999,694.869199999999,1314.1132,1894.2691,508.670799999999,651.776299999999,1196.43959999999,1771.817,1881.0893,1895.239,1524.8603,1365.36799999999,1301.2469,1304.8877,1012.1099,792.5285,1808.0436
228351,20220423,10,36341.3148,1921.5781,559.510899999999,616.0582,870.839799999999,1550.1195,1817.248,1900.5753,1875.93959999999,1598.1659,1339.6137,1291.8107,1087.8095,657.848499999999,1177.1415,1824.16799999999,489.846099999999,609.8741,1171.37719999999,1646.96599999999,1870.1984,1789.7428,1477.1827,1316.457,1170.46149999999,1249.2663,976.2377,751.1526,1734.1259
228788,20220423,11,37149.4352,2019.1326,587.9157,607.8188,975.5824,1581.0503,1840.30199999999,1903.182,1829.5698,1633.1963,1385.8606,1314.9742,1063.8329,679.8694,1252.3585,1828.6293,491.0441,591.479699999999,1245.6755,1830.08009999999,1847.77939999999,1861.04749999999,1476.8767,1324.7779,1202.60909999999,1283.2759,1029.69589999999,724.573099999999,1737.24579999999
229212,20220423,12,36819.6037999999,2041.7311,594.4958,545.4483,914.4201,1512.9835,1748.21419999999,1922.7009,1872.1176,1638.8249,1430.5498,1308.0417,1042.9718,638.99,1188.9503,1729.371,464.3904,651.1281,1283.5977,1733.1639,1838.43959999999,1882.97679999999,1536.44149999999,1354.66439999999,1153.2962,1314.1949,994.892299999999,691.340599999999,1791.2663
229625,20220423,13,35386.5287,2066.7817,601.790399999999,610.475199999999,928.273599999999,1427.1738,1642.9914,1841.036,1739.74229999999,1588.14529999999,1342.5769,1314.30379999999,992.6434,640.153699999999,1155.2157,1627.0694,436.9195,604.2689,1177.6839,1593.72579999999,1658.9087,1735.17879999999,1420.8015,1306.1889,1171.1831,1276.7264,911.408699999999,714.290399999999,1860.8732
